it	post	prior	lik	mu	sig
178	-97.7159476745	-56.0057884158	-41.7101592587	99.7708372852836	5.14016187301433
179	-97.349194414	-52.1857336428	-45.1634607713	100.09096724210146	4.758156395711531
180	-98.4934463427	-58.1206375515	-40.3728087912	101.12894554050592	5.351646786587775
181	-98.4934463427	-58.1206375515	-40.3728087912	101.12894554050592	5.351646786587775
182	-98.1606870853	-56.8114891246	-41.3491979607	101.19196696736394	5.220731943899393
183	-98.1606870853	-56.8114891246	-41.3491979607	101.19196696736394	5.220731943899393
184	-98.1606870853	-56.8114891246	-41.3491979607	101.19196696736394	5.220731943899393
185	-98.7735542936	-46.8407506981	-51.9328035955	100.6121964169702	4.223658101243267
186	-97.5973516713	-53.2667751742	-44.330576497	101.0628447754703	4.8662605488577855
187	-97.4562279536	-54.0076456056	-43.448582348	100.36252880063162	4.940347591997685
188	-97.4562279536	-54.0076456056	-43.448582348	100.36252880063162	4.940347591997685
189	-97.4562279536	-54.0076456056	-43.448582348	100.36252880063162	4.940347591997685
190	-97.4562279536	-54.0076456056	-43.448582348	100.36252880063162	4.940347591997685
191	-97.6101052963	-55.1879443249	-42.4221609714	100.36153133747081	5.058377463929154
192	-98.5310085667	-48.9312878196	-49.599720747	97.76397514470828	4.432711813398415
193	-97.8625921756	-48.8821028647	-48.9804893109	99.33260920144502	4.427793317904646
194	-98.8210405969	-59.4927622838	-39.3282783131	100.64414965863786	5.488859259816854
195	-97.578962182	-49.9455531172	-47.6334090648	99.54042325214017	4.534138343159308
196	-97.578962182	-49.9455531172	-47.6334090648	99.54042325214017	4.534138343159308
197	-97.578962182	-49.9455531172	-47.6334090648	99.54042325214017	4.534138343159308
198	-97.5512095693	-53.8921466214	-43.659062948	98.72866803507083	4.928797693572055
199	-97.5512095693	-53.8921466214	-43.659062948	98.72866803507083	4.928797693572055
200	-97.7168133869	-51.0857216042	-46.6310917827	98.37310810815019	4.6481551918556105
201	-97.646884352	-54.1131290693	-43.5337552827	98.49990613646688	4.950895938365255
202	-97.646884352	-54.1131290693	-43.5337552827	98.49990613646688	4.950895938365255
203	-97.646884352	-54.1131290693	-43.5337552827	98.49990613646688	4.950895938365255
204	-97.646884352	-54.1131290693	-43.5337552827	98.49990613646688	4.950895938365255
205	-97.646884352	-54.1131290693	-43.5337552827	98.49990613646688	4.950895938365255
206	-98.571061852	-58.2735356122	-40.2975262398	98.32008590797898	5.36693659265136
207	-98.571061852	-58.2735356122	-40.2975262398	98.32008590797898	5.36693659265136
