it	joined_post	joined_prior	joined_lik	shape_sp0	rate_sp0	shape_sp1	rate_sp1	mean_bm_sp0	mean_bm_sp1	sp1-sp0
260	-73.5084960958	-18.6601727944	-54.8483233014	19.4742112629	0.189513047578	74.2889222931	0.545677620614	102.759211104	136.14067993	33.3814688267
270	-73.5084960958	-18.6601727944	-54.8483233014	19.4742112629	0.189513047578	74.2889222931	0.545677620614	102.759211104	136.14067993	33.3814688267
280	-72.0091577812	-17.5372321618	-54.4719256194	24.4357623772	0.25108079328	58.1253692885	0.456705439356	97.3223083213	127.271024778	29.9487164567
290	-72.6996077915	-16.4709534406	-56.2286543509	28.4324278628	0.271231625647	43.53224803	0.370223167432	104.827111495	117.583803121	12.7566916253
300	-72.3751332209	-16.0298304557	-56.3453027652	24.0466999845	0.245729655125	43.53224803	0.370223167432	97.8583556483	117.583803121	19.7254474724
310	-72.3751332209	-16.0298304557	-56.3453027652	24.0466999845	0.245729655125	43.53224803	0.370223167432	97.8583556483	117.583803121	19.7254474724
320	-72.5431622125	-16.3601928358	-56.1829693768	25.6089998004	0.246787023667	45.2598512951	0.3828865187	103.769636749	118.206959725	14.4373229753
330	-70.016256852	-15.2114566502	-54.8048002018	25.6089998004	0.246787023667	33.8916967449	0.263679212772	103.769636749	128.533821035	24.764184285
340	-70.1019329456	-15.2109544865	-54.8909784592	25.6089998004	0.246787023667	33.8836787871	0.266675533553	103.769636749	127.059570616	23.2899338666
350	-71.0497624958	-15.7241169433	-55.3256455525	28.0970787006	0.290789213406	36.4990022025	0.250895596508	96.6235245509	145.474861698	48.8513371469
360	-70.5417849879	-16.2947487623	-54.2470362257	28.0970787006	0.290789213406	42.1430601444	0.31315584428	96.6235245509	134.575358928	37.9518343772
370	-72.9562044933	-17.5600476599	-55.3961568334	34.3759794548	0.315835396698	48.4109402695	0.394317758014	108.841440238	122.771392578	13.9299523398
380	-72.9562044933	-17.5600476599	-55.3961568334	34.3759794548	0.315835396698	48.4109402695	0.394317758014	108.841440238	122.771392578	13.9299523398
